"Rank","Title","Status","Study Results","Conditions","Interventions","Sponsor/Collaborators","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Start Date","Completion Date","Locations","URL"
72,"Safety Study of Autologous Stem Cell in Liver Cirrhosis","Terminated","No Results Available","Liver Cirrhosis","Procedure: Autologous bone marrow-derived mononuclear cells infusion","Universidade Federal do Rio de Janeiro|Financiadora de Estudos e Projetos","Phase 1|Phase 2","15","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","November 2005","February 2008","Hospital Universitário Clementino Fraga Filho, Rio de Janeiro, Brazil","https://ClinicalTrials.gov/show/NCT00382278"
73,"Evaluate Safety and Efficacy of Autologous Bone Marrow-derived Endothelial Progenitor Cells in Advanced Liver Cirrhosis","Completed","No Results Available","Liver Cirrhosis","Other: Autologous bone marrow-derived endothelial progenitor cells","Clinica Universidad de Navarra, Universidad de Navarra|Foundation Ramon Areces|Instituto de Salud Carlos III","Phase 1|Phase 2","14","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","June 2012","March 2015","Clinica Universidad de Navarra, Pamplona, Navarra, Spain","https://ClinicalTrials.gov/show/NCT01333228"
74,"Liver Regeneration Therapy Using Autologous Adipose Tissue Derived Stromal Cells","Terminated","No Results Available","Liver Cirrhosis","Biological: adipose tissue derived stromal cells","Kanazawa University","Phase 1","6","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","February 2009","April 2010","Kanazawa University Hospital, Kanazawa, Ishikawa, Japan","https://ClinicalTrials.gov/show/NCT00913289"
75,"A Study to Evaluate the Efficacy and Safety of JKB-122 in Patients With NASH and Fibrosis","Not yet recruiting","No Results Available","Nonalcoholic Steatohepatitis (NASH) With Fibrosis","Drug: Placebo|Drug: Dose 1 JKB-122|Drug: Dose 2 JKB-122","TaiwanJ Pharmaceuticals Co., Ltd","Phase 2","300","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","June 30, 2020","December 31, 2023",,"https://ClinicalTrials.gov/show/NCT04255069"
76,"Mesenchymal Stem Cells Treatment for Decompensated Liver Cirrhosis","Recruiting","No Results Available","Decompensated Liver Cirrhosis","Biological: umbilical cord-derived mesenchymal stem cell|Other: Comprehensive treatment","Beijing 302 Hospital","Phase 2","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","May 20, 2019","December 30, 2023","Beijing 302 Hospital, Beijing, China","https://ClinicalTrials.gov/show/NCT03945487"
77,"Phase 3 Study to Evaluate the Efficacy and Safety of Elafibranor Versus Placebo in Patients With Nonalcoholic Steatohepatitis (NASH)","Recruiting","No Results Available","Nonalcoholic Steatohepatitis (NASH) With Fibrosis","Drug: Elafibranor|Drug: Placebo","Genfit","Phase 3","2000","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","March 2016",,"University of Alabama at Birmingham, Birmingham, Alabama, United States|Digestive Health Specialists of the Southeast, Dothan, Alabama, United States|The Institute for Liver Health, Chandler, Arizona, United States|The Institute for Liver Health, Glendale, Arizona, United States|Banner University Medical Center Phoenix, Phoenix, Arizona, United States|Dignity Health St. Joseph's Hospital, Phoenix, Arizona, United States|Mayo Clinic Hospital, Phoenix, Arizona, United States|Institute for Liver Health, Tucson, Arizona, United States|Adobe Clinical Research, LLC, Tucson, Arizona, United States|The University of Arizona College of Medicine Liver Research Institute, Tucson, Arizona, United States|Liver Wellness Center, Little Rock, Arkansas, United States|GW Research, Inc., Chula Vista, California, United States|Southern California Research Center, Coronado, California, United States|University of California, San Francisco, Fresno Community Regional Medical Center, Fresno, California, United States|Fresno Clinical Research Center, Fresno, California, United States|University of California, San Francisco, Fresno Community Regional Medical Center, Fresno, California, United States|Scripps Clinic Torrey Pines, La Jolla, California, United States|University of California - San Diego, La Jolla, California, United States|Loma Linda University Medical Center - Transplantation Insitute, Loma Linda, California, United States|VA Long Beach Healthcare System, Long Beach, California, United States|Keck Hospital of USC, Los Angeles, California, United States|Ruane Clinical Research Group Inc., Los Angeles, California, United States|Cedars Sinai Medical Center, Los Angeles, California, United States|Gastrointestinal Biosciences Clinical Trials LLC, Los Angeles, California, United States|Veterans Affaires Greater Los Angeles Healthcare System, West LA VA Medical Center, Los Angeles, California, United States|Veterans Affairs Greater Los Angeles Healthcare System, Los Angeles, California, United States|Alliance Clinical Research, Oceanside, California, United States|National Research Institute, Panorama City, California, United States|Alliance Clinical Research, Poway, California, United States|University of California, Davis Medical Center, Sacramento, California, United States|University of California, San Diego Airway Research and Clinical Trials Center, San Diego, California, United States|Medical Associates Research Group, Inc., San Diego, California, United States|VA San Diego HealthCare System, San Diego, California, United States|Quest Clinical Research, San Francisco, California, United States|Sutter West Bay Hospitals dba California Pacific Medical Center, San Francisco, California, United States|University of California, San Francisco, Medical Center at Parnassus, San Francisco, California, United States|Ventura Clinical Trials, Ventura, California, United States|South Denver Gastroenterology, Englewood, Colorado, United States|Yale University School of Medicine, Section of Digestive Diseases, New Haven, Connecticut, United States|Georgetown University Hospitals, Washington, District of Columbia, United States|Sibley Memorial Hospital, Washington, District of Columbia, United States|Excel Medical Clinical Trials LLC, Boca Raton, Florida, United States|Integrity Clinical Research LLC, Doral, Florida, United States|University of Florida, Gainesville, Florida, United States|Nature Coast Clinical Research, Inverness, Florida, United States|Mayo Clinic Hospital, Jacksonville, Florida, United States|Florida Digestive Health Specialists, LLP, Lakewood Ranch, Florida, United States|Atlantic Gastroenterology Associates, LLC, Lakewood Ranch, Florida, United States|Miami VA Healthcare System, Miami, Florida, United States|University of Miami - Miller School of Medicine, Miami, Florida, United States|University of Miami - Schiff Center for Liver Diseases, Miami, Florida, United States|South Florida Center of Gastroenterology, PA, Wellington, Florida, United States|Florida Medical Clinic, PA, Zephyrhills, Florida, United States|Summit Clinical Research, Athens, Georgia, United States|Emory University Hospital Midtown, Atlanta, Georgia, United States|Piedmont Atlanta Hospital, Atlanta, Georgia, United States|Atlanta Medical Center, Inc., Atlanta, Georgia, United States|Gastrointestinal Specialists of Georgia, PC, Marietta, Georgia, United States|The Queen's Medical Center, Honolulu, Hawaii, United States|Northwestern Memorial Hospital - Arkes Family Pavilion, Chicago, Illinois, United States|Rush University Medical Center, Chicago, Illinois, United States|The University of Chicago Medical Center, Chicago, Illinois, United States|University of Chicago, Chicago, Illinois, United States|Loyola University Chicago, Maywood, Illinois, United States|Gastroenterology Associates of Hazard, Hazard, Kentucky, United States|University of Kentucky Chandler Medical Center, Lexington, Kentucky, United States|University of Louisville Medical / Dental Complex, Louisville, Kentucky, United States|Tulane University School of Medicine, New Orleans, Louisiana, United States|Louisiana Research Center, LLC, Shreveport, Louisiana, United States|Johns Hopkins Hospital, Baltimore, Maryland, United States|Walter Reed National Military Medical Center, Bethesda, Maryland, United States|Kaiser Permanente Shady Grove Medical Center, Rockville, Maryland, United States|Tufts Medical Center, Boston, Massachusetts, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center (BIDMC), Boston, Massachusetts, United States|University of Massachusetts Memorial Medical Center, Worcester, Massachusetts, United States|Henry Ford Health System, Division of Gastroenterology & Hepatology, Detroit, Michigan, United States|Gastrointestinal Associates & Endoscopy Center, Flowood, Mississippi, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States|St. Luke's Liver Transplant & Specialist, Kansas City, Missouri, United States|Kansas City VA Medical Center, Kansas City, Missouri, United States|Kansas City Research Institute, Kansas City, Missouri, United States|Saint Louis University School of Medicine, Saint Louis, Missouri, United States|Rutgers, Robert Wood Johnson Medical School, New Brunswick, New Jersey, United States|Rutgers, New Jersey Medical School, Newark, New Jersey, United States|Southwest Gastroenterology Associates, Albuquerque, New Mexico, United States|Montefiore Medical Center, Bronx, New York, United States|University at Buffalo, Clinical and Translational Research Center, Buffalo, New York, United States|Hofstra Northwell School of Medicine, Manhasset, New York, United States|Concorde Medical Group, New York, New York, United States|New York University Langone Medical Center, New York, New York, United States|Weill Medical College of Cornell University, New York, New York, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States|New York-Presbyterian Hospital - Columbia University Medical Center, New York, New York, United States|Beth Israel Medical Center, New York, New York, United States|Premier Medical Group, Poughkeepsie, New York, United States|Asheville Gastroenterology Associates, Asheville, North Carolina, United States|UNC Health Care System, Chapel Hill, North Carolina, United States|Carolinas Medical Center, Charlotte, North Carolina, United States|Duke Gastroenterology, Durham, North Carolina, United States|Cumberland Research Associates, LLC, Fayetteville, North Carolina, United States|Carolinas Center for Liver Disease, Carolinas HealthCare System/Atrium Health, Huntersville, North Carolina, United States|Diabetes & Endocrinology Consultants, Morehead City, North Carolina, United States|Wake Research Associates, Raleigh, North Carolina, United States|Piedmont Healthcare, Statesville, North Carolina, United States|Trial Management Associates, Wilmington, North Carolina, United States|Consultants for Clinical Research, Cincinnati, Ohio, United States|Ohio Gastroenterology & Liver Institute, Cincinnati, Ohio, United States|University of Cincinnati Physicians Company , LLC, Cincinnati, Ohio, United States|University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States|The Ohio State University Wexner Medical Center, Columbus, Ohio, United States|Options Health Research, LLC, Tulsa, Oklahoma, United States|Drexel University, College of Medicine, Philadelphia, Pennsylvania, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States|Temple University Health System, Philadelphia, Pennsylvania, United States|Albert Einstein Medical Center, Philadelphia, Pennsylvania, United States|UPMC Montefiore, Pittsburgh, Pennsylvania, United States|Rhode Island Hospital, Providence, Rhode Island, United States|Ralph H. Johnson VA Medical Center, Charleston, South Carolina, United States|Medical University of South Carolina (MUSC), Charleston, South Carolina, United States|Medical University of South Carolina, Charleston, South Carolina, United States|Associates in Gastroenterology, PLC, Hermitage, Tennessee, United States|Methodist University Hospital, Memphis, Tennessee, United States|Quality Medical Research, PLLC, Nashville, Tennessee, United States|Texas Clinical Research Institute, Arlington, Texas, United States|Methodist Dallas Medical Center, Dallas, Texas, United States|Liver Center of Texas, Dallas, Texas, United States|Baylor All Saints Medical Center - Baylor Research Institute, Fort Worth, Texas, United States|DHAT Research Institute, Garland, Texas, United States|Baylor College of Medicine, Houston, Texas, United States|Liver Associates of Texas, P.A., Houston, Texas, United States|Research Specialists of Texas, Houston, Texas, United States|Centex Studies Inc., Houston, Texas, United States|Gulf Coast Research Group LLC, Houston, Texas, United States|Brooke Army Medical Center, Houston, Texas, United States|Gastroenterology Consultants of San Antonio, Live Oak, Texas, United States|Centex Studies Inc, McAllen, Texas, United States|Pinnacle Clinical Research, PLLC, Rollingwood, Texas, United States|The Texas Liver Institute, Inc., San Antonio, Texas, United States|Pinnacle Clinical Research, PLLC, San Antonio, Texas, United States|Texas Digestive Consultants (TDDC), Southlake, Texas, United States|Victoria Gastroenterology, Victoria, Texas, United States|University of Utah School of Medicine, Salt Lake City, Utah, United States|University of Virginia Health System, Charlottesville, Virginia, United States|University of Virginia, Charlottesville, Virginia, United States|Inova Fairfax Medical Campus - Center for Liver Disease, Falls Church, Virginia, United States|Bon Secours Liver Institute of Virginia - Newport News, Newport News, Virginia, United States|Bon Secours Liver Institute of Virginia - Richmond, Richmond, Virginia, United States|Hunter Holmes McGuire VA Medical Center, Richmond, Virginia, United States|Virginia Commonwealth University, Richmond, Virginia, United States|Kaiser Permanente Springfield Medical Center, Springfield, Virginia, United States|Harborview Medical Center, Seattle, Washington, United States|Swedish Organ Transplant and Liver Center, Seattle, Washington, United States|Sanatorio Güemes, Caba, Buenos Aires, Argentina|Axismed S.R.L, Caba, Buenos Aires, Argentina|Instituto de Investigaciones Clinicas San Nicolas SRL, San Nicolas, Buenos Aires, Argentina|Hospital Alemán, Buenos Aires, Argentina|Centro de Investigación y Prevención Cardiovascular SA (CIPREC), Buenos Aires, Argentina|Fundación Sanatorio Güemes, Buenos Aires, Argentina|Hospital Italiano de Buenos Aires, Buenos Aires, Argentina|Hospital Británico de Buenos Aires, Buenos Aires, Argentina|CCBR Clinical Research, Buenos Aires, Argentina|Centro De Hepatologia Ciudad de La Plata, La Plata, Argentina|Hospital Universitario Austral, Pilar, Argentina|Dim Clinica Privada, Ramos Mejía, Argentina|Hospital Provincial del Centenario, Rosario, Argentina|Instituto Medico Alas, Salta, Argentina|Flinders Medical Centre, Bedford Park, Australia|Box Hill Hospital, Box Hill, Australia|Monash Medical Centre Clayton, Clayton, Australia|Concord Repatriation General Hospital, Concord, Australia|St. Vincent's Hospital Melbourne, Fitzroy, Australia|Austin Hospital, Heidelberg, Australia|Nepean Hospital, Kingswood, Australia|The St George Hospital, Kogarah, Australia|The Alfred Hospital, Melbourne, Australia|Fiona Stanley Hospital, Murdoch, Australia|Sir Charles Gairdner Hospital (SCGH), Nedlands, Australia|Westmead Hospital, Westmead, Australia|Hôpital Erasme, Bruxelles, Belgium|Universitair Ziekenhuis Brussel, Bruxelles, Belgium|Cliniques Universitaires Saint-Luc, Bruxelles, Belgium|Universitair Ziekenhuis Antwerpen, Edegem, Belgium|Universitair Ziekenhuis Gent, Gent, Belgium|Universitair Ziekenhuis Leuven, Leuven, Belgium|Centre Hospitalier de Wallonie Picardie (CHWAPI), Tournai, Belgium|LAIR Centre, Vancouver, British Columbia, Canada|Vancouver General Hospital (VGH) - Gordon and Leslie Diamond Health Care Centre, Vancouver, British Columbia, Canada|Toronto General Hospital, Toronto, Ontario, Canada|Toronto Western Hospital, Toronto, Ontario, Canada|Toronto Liver Centre, Toronto, Ontario, Canada|Monteregie Centre de Recherche, Greenfield Park, Quebec, Canada|The Montreal Chest Institute, Montréal, Quebec, Canada|University of Calgary, Cumming School of Medicine, Calgary, AB, Canada|Queen Elizabeth II Health Sciences Centre, Nova Scotia Health Authority, Halifax, Canada|Mc Gill University Health Centre (MUHC), Montreal, Canada|University of Manitoba, Winnipeg, MB, Canada|Hospital de La Serena, La Serena, Chile|Alta Salud, Los Ángeles, Chile|Hospital Clínico UC, Santiago, Chile|Hospital Clínico Universidad de Chile, Santiago, Chile|Centro de Estudios Clinicos Barros Luco SPA (Patients seen, Fibroscan stored and Drug Shipment), Santiago, Chile|Clínica Reñaca, Vina Del Mar, Chile|Solano&Terront Servicios Médicos LTDA - Unidad Integral de Endocrinologia UNIENDO, Bogotá, Bogota D.C, Colombia|Fundación Cardio Infantil - Instituto de Cardiología, Bogotá, Colombia|Fundación Valle del Lili, Cali, Colombia|Centro Medico Imbanaco, Cali, Colombia|Hospital Universitario San Vicente de Paul Fundación, Medellin, Colombia|Hospital Pablo Tobon Uribe, Medellin, Colombia|Fundacion Hospitalaria San Vicente de Paul, Medellín, Colombia|Fakultní Nemocnice Brno, Brno, Czechia|Research Site S.R.O., Plzen, Czechia|Research Site, s.r.o, Plzen, Czechia|KlinMed s.r.o., Praha 2, Czechia|Aarhus University Hospital, Aarhus, Denmark|Helsinki University Central Hospital, Helsinki, Finland|CHU Amiens Picardie, Amiens, France|CHU Angers, Angers, France|Hôpital Antoine-Béclère, Clamart, France|Hôpital Beaujon, Clichy, France|Hôpital Henri Mondor, Créteil, France|CHU Limoges - Hôpital Dupuytren, Limoges, France|Hôpital de la Croix-Rousse, Lyon, France|Hôpital Saint Joseph, Marseille, France|CHRU Montpellier- Hôpital Saint Eloi, Montpellier, France|CHU de Nantes - Hôpital Laennec, Nantes, France|CHU de Nice- Hôpital de l'Archet II, Nice, France|Hôpital Saint-Antoine, Paris, France|Hopital Pitie-Salpetriere, Paris, France|Hôpital Cochin, Paris, France|Hôpital Haut-Lévêque, Pessac, France|CHU Toulouse - Hôpital Purpan, Toulouse, France|CHU Nancy - Hôpital Brabois, Vandoeuvre Les Nancy, France|Hôpital Paul Brousse, Villejuif, France|Universitätsklinikum Köln, Köln, Northwest, Germany|Universitätsklinikum RWTH Aachen, Aachen, Germany|Liver Center, Berlin, Germany|Gastroenterologie am Bayerischen Platz/ Gastro-Studien, Berlin, Germany|Universitätsklinikum Bonn, Bonn, Germany|Universitätsklinikum Essen, Essen, Germany|Universitätsklinikum Frankfurt - Goethe Universität, Frankfurt, Germany|Universitätsklinikum Freiburg, Freiburg, Germany|Asklepios Klinik St. Georg, Hamburg, Germany|Universitätsklinikum Hamburg-Eppendorf (UKE), Hamburg, Germany|Medizinische Hochschule Hannover (MHH), Hannover, Germany|Universitätsklinikum Heidelberg, Heidelberg, Germany|Universitätsklinikum Köln, Köln, Germany|EUGASTRO GmbH, Leipzig, Germany|Universitätsklinikum Leipzig, Leipzig, Germany|Universitätsklinikum Magdeburg, Magdeburg, Germany|Universitätsmedizin der Johannes Gutenberg-Universität Mainz, Mainz, Germany|Universitätsklinikum Würzburg, Würzburg, Germany|Azienda Ospedaliero-Universitaria di Bologna Policlinico S. Orsola-Malpighi, Bologna, Italy|Fondazione IRCCS Cà Granda Ospedale Maggiore Policlinico, Milano, Italy|Azienda Ospedaliera di Rilievo Nazionale ""A. Cardarelli"", Napoli, Italy|Azienda Ospedaliera Universitaria Policlinico Paolo Giaccone, Palermo, Italy|Azienda Ospedaliera Universitaria Policlinico Paolo Giaccone, Palermo, Italy|Policlinico Tor Vergata, Roma, Italy|Fondazione Policlinico Universitario Agostino Gemelli, Roma, Italy|Ospedale Casa Sollievo della Sofferenza I.R.C.C.S., San Giovanni Rotondo, Italy|Azienda Ospedaliera Universitaria Citta della Salute e della Scienza di Torino - Ospedale Molinette, Torino, Italy|Hospital Angeles Clinica Londres, Mexico, DIF, Mexico|Centro de Investigación Clínica del Pacífico, S.A de C.V., Acapulco, Mexico|Hospital Maria Auxiliadora, Guadalajara, Mexico|Médica Sur, Mexico City, Mexico|Consultorio Medico, Mexico City, Mexico|Accelerium S de RL de C.V., Monterrey, Mexico|Vrije Universiteit Medical Center, Amsterdam, Netherlands|Academisch Medisch Centrum, Amsterdam, Netherlands|Maastricht UMC+, Maastricht, Netherlands|Radboud UMC, Nijmegen, Netherlands|Centro Hospitalar e Universitário de Coimbra, EPE - Hospitais da Universidade de Coimbra, Coimbra, Portugal|Centro Hospitalar Lisboa Central, EPE - Hospital Santo António dos Capuchos, Lisboa, Portugal|Centro Hospitalar de Lisboa Norte, EPE - Hospital Santa Maria, Lisboa, Portugal|Centro Hospitalar de São João, EPE - Hospital de São João, Porto, Portugal|Centro Hospitalar de São João, Porto, Portugal|Centro Hospita de Tras-os-Montes e Alto Douro, EPE, Vila Real, Portugal|Caparra Internal Medicine Research Center, Rio Grande, Puerto Rico|Klinical Investigations Group, LLC, San Juan, Puerto Rico|Fundacion de Investigacion de Diego, San Juan, Puerto Rico|Fundación de Investigación, San Juan, Puerto Rico|Institutul National de Boli Infectioase ""Prof. Dr. Matei Bals"", Bucharest, Romania|Institutul Clinic Fundeni, Bucharest, Romania|SC Cabinet Particular Policlinic Algomed SRL, Timisoara, Romania|Spitalul Clinic Judetean de Urgenta ""Pius Brinzeu"" Timisoara, Timisoara, Romania|FSBRI ""Federal Research Center of nutrition and biotechnology, Moscow, Russian Federation|I. M. Sechenov - First Moscow State Medical University, Moscow, Russian Federation|M. F. Vladimirsky - Clinical Research Institution of Moscow Region, Moscow, Russian Federation|Military medical academy n. a. S.M. Kirov, Saint Petersburg, Russian Federation|St Petersburg State Budgetary Healthcare Institution City Clinical Hospital N°31, Saint Petersburg, Russian Federation|City Clinical Hospital No. 31, St. Petersburg, Russian Federation|Tiervlei Trial Centre, Cape Town, South Africa|Mediclinic Constantiaberg, Cape Town, South Africa|Phoenix Pharma (Pty) Ltd, Port Elizabeth, South Africa|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Hospital Universitario Vall d'Hebron, Barcelona, Spain|Hospital Clinic i Provincial, Barcelona, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Universitario Puerta de Hierro, Majadahonda, Spain|Hospital Universitario Virgen de la Victoria, Málaga, Spain|Complexo Hospitalario Universitario de Pontevedra, Pontevedra, Spain|Hospital Universitario Marqués de Valdecilla, Santander, Spain|Campus Hospital Universitario Virgen del Rocío - Instituto de Biomedicina de Sevilla (IBIS), Sevilla, Spain|Karolinska Universitetssjukhuset Huddinge, Stockholm, Sweden|INSELSPITAL, University Hospital Bern, Bern, Switzerland|Centre Hospitalier Universitaire Vaudois (CHUV), Lausanne, Switzerland|Kantonsspital St. Gallen, Saint Gallen, Switzerland|UniversitätsSpital Zürich, Zurich, Switzerland|Ankara Üniversitesi Tıp Fakültesi, Ankara, Turkey|Bezmiâlem Vakıf Üniversitesi, Fatih, Turkey|Sağlık Bilimleri Üniversitesi Ümraniye Eğitim ve Araştırma Hastanesi, Istanbul, Turkey|Ege Üniversitesi, Izmir, Turkey|Marmara Üniversitesi Eğitim ve Araştırma Hastanesi, Pendik, Turkey|Istanbul Universitesi Istanbul Tip Fakultesi, Çapa, Turkey|University Hospitals Birmingham NHS foundation Trust, Birmingham, United Kingdom|Addenbrooke's Hospital, Cambridge, United Kingdom|Frimley Park Hospital NHS Foundation Trust, Frimley, United Kingdom|Hull and East Yorkshire Hospitals NHS Trust - Hull Royal Infirmary, Hull, United Kingdom|Bart Health NHS Trust- Royal London Hospital, London, United Kingdom|The Royal Free London NHS Foundation Trust - The Royal Free Hospital, London, United Kingdom|Guy's and St Thomas' NHS Foundation Trust - St Thomas' Hospital, London, United Kingdom|St George's University Hospitals NHS Foundation Trust - St George's Hospital, London, United Kingdom|The Newcastle upon Tyne Hospitals NHS Foundation Trust - Freeman Hospital, Newcastle upon Tyne, United Kingdom|Nottingham University Hospitals NHS FoundationTrust - Queen's Medical Centre, Nottingham, United Kingdom|Plymouth Hospitals NHS Trust - Derriford Hospital, Plymouth, United Kingdom|Portsmouth Hospitals NHS Trust - Queen Alexandra Hospital, Portsmouth, United Kingdom","https://ClinicalTrials.gov/show/NCT02704403"
78,"Safety and Efficacy Study of Peripheral Blood Mononucleated Cells for Treatment of Liver Cirrhosis","Completed","Has Results","Liver Cirrhosis","Drug: G-colony stimulating factor|Other: Infusion of the mobilized monocyte cells","Seoul National University Hospital","Phase 1","9","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","January 2012","August 2014",,"https://ClinicalTrials.gov/show/NCT01503749"
79,"GCSF Therapy in Decompensated Cirrhosis - A Double Blinded RCT","Recruiting","No Results Available","Decompensated Cirrhosis of Liver","Drug: G-CSF|Drug: Placebo","Postgraduate Institute of Medical Education and Research|Society for the Study of Liver Diseases, Chandigarh ( India )","Phase 2|Phase 3","70","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","May 4, 2019","June 30, 2020","Post Graduate Institute of Medical Education and Research, Chandigarh, India","https://ClinicalTrials.gov/show/NCT03911037"
80,"Phase 1 Study of L-NMMA in Patients With Liver Cirrhosis","Completed","No Results Available","Liver Cirrhosis","Drug: Ng-monomethyl-L-arginine (drug)","Regional Hospital Holstebro","Phase 1","30","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single",,,,"https://ClinicalTrials.gov/show/NCT00344916"
81,"Propofol Versus Midazolam for Lower Gastrointestinal Endoscopy","Recruiting","No Results Available","Cirrhosis, Liver","Drug: Midazolam|Drug: Propofol","Sherief Abd-Elsalam|Tanta University","Phase 3","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment","April 1, 2016","December 11, 2022","Sherief Abd-Elsalam, Tanta, Egypt","https://ClinicalTrials.gov/show/NCT03388151"
82,"Human Umbilical Cord Mesenchymal Stem Cells Transplantation for Patients With Decompensated Liver Cirrhosis","Completed","No Results Available","Liver Cirrhosis","Biological: conventional therapy plus low dose hUC-MSCs treatment|Biological: conventional therapy plus medium dose hUC-MSCs treatment|Biological: conventional therapy plus high dose hUC-MSCs treatment","Shenzhen Beike Bio-Technology Co., Ltd.|No.85 Hospital, Changning, Shanghai, China","Phase 1|Phase 2","20","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","October 2010","October 2011","Shanghai Liver Disease Research Center, the Nanjing Military Command (Shanghai 85 Hospital), Shanghai, Shanghai, China","https://ClinicalTrials.gov/show/NCT01342250"
83,"Mesenchymal Stem Cell Therapy for Liver Cirrhosis","Recruiting","No Results Available","Liver Cirrhosis","Biological: Autologous BM MSC","Stem Med Pte. Ltd.|Parkway Cancer Centre|Asian American Liver Centre|Desmond Wai Liver & Gastrointestinal Diseases Centre","Phase 1|Phase 2","20","Industry|Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","August 18, 2018","October 22, 2020","Asian American Liver Centre - Gleneagles Hospital (Annexe Block), Singapore, Singapore|Parkway Cancer Centre - Gleneagles Hospital, Singapore, Singapore|Desmond Wai Liver & Gastrointestinal Disease Centre - Mount Elizabeth Novena Specialist Centre, Singapore, Singapore","https://ClinicalTrials.gov/show/NCT03626090"
84,"Sorafenib PK in Patients With Advanced HCC and Child-Pugh B","Terminated","No Results Available","BCLC Stage C HCC|CP-B Liver Cirrhosis","Drug: Sorafenib|Other: Midazolam clearance test|Other: CYP cocktail clearance test","Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA)|Erasmus Medical Center","Phase 2","5","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","May 2014","March 2017","Academic Medical Center, Amsterdam, Netherlands","https://ClinicalTrials.gov/show/NCT04051853"
85,"A Study of ADR-001 in Patients With Liver Cirrhosis","Recruiting","No Results Available","Decompensated Liver Cirrhosis","Biological: Mesenchymal stem cell","Rohto Pharmaceutical Co., Ltd.","Phase 1|Phase 2","15","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","July 20, 2017","December 2019","Niigata University Medical & Dental Hospital, Niigata, Japan|Nihon University Itabashi Hospital, Tokyo, Japan","https://ClinicalTrials.gov/show/NCT03254758"
86,"Efficacy of the Combination of Simvastatin Plus Rifaximin in Patients With Decompensated Cirrhosis to Prevent ACLF Development","Recruiting","No Results Available","Liver Cirrhoses","Drug: Simvastatin|Drug: Rifaximin|Drug: Placebo of Simvastatin|Drug: Placebo of Rifaximin","Judit Pich|Institut d'Investigacions Biomèdiques August Pi i Sunyer","Phase 2|Phase 3","240","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","January 3, 2019","December 31, 2021","Beajuon Hospital, Clichy, Paris, France|Universitatsklinikum Frankurt, Frankfurt, Germany|Bologna University Hospital, Bologna, Italy|Padova University Hospital, Padova, Italy|San Giovanni Battista Hospital, Torino, Italy|Academic Medical Centre, Amsterdam, Netherlands|Hospital Clínic de Barcelona, Barcelona, España, Spain|Hospital Universitari Vall d'Hebrón, Barcelona, Spain|Royal Free Hospital, London, United Kingdom","https://ClinicalTrials.gov/show/NCT03780673"
